NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
4.39231e+173 -2.00005e-05 5e-08
4.38354e+173 -2.00004e-05 5e-08
4.37478e+173 -2.00003e-05 5e-08
4.36604e+173 -2.00002e-05 5e-08
4.35732e+173 -2.00001e-05 5e-08
4.34861e+173 -2e-05 5e-08
4.33992e+173 -1.99999e-05 5e-08
4.33125e+173 -1.99998e-05 5e-08
4.3226e+173 -1.99997e-05 5e-08
4.31396e+173 -1.99996e-05 5e-08
4.30534e+173 -1.99995e-05 5e-08
4.29674e+173 -1.99994e-05 5e-08
4.28815e+173 -1.99993e-05 5e-08
4.27959e+173 -1.99992e-05 5e-08
4.27103e+173 -1.99991e-05 5e-08
4.2625e+173 -1.9999e-05 5e-08
4.25398e+173 -1.99989e-05 5e-08
4.24549e+173 -1.99988e-05 5e-08
4.237e+173 -1.99987e-05 5e-08
4.22854e+173 -1.99986e-05 5e-08
4.22009e+173 -1.99985e-05 5e-08
4.21166e+173 -1.99984e-05 5e-08
4.20324e+173 -1.99983e-05 5e-08
4.19484e+173 -1.99982e-05 5e-08
4.18646e+173 -1.99981e-05 5e-08
4.1781e+173 -1.9998e-05 5e-08
4.16975e+173 -1.99979e-05 5e-08
4.16142e+173 -1.99978e-05 5e-08
4.1531e+173 -1.99977e-05 5e-08
4.14481e+173 -1.99976e-05 5e-08
4.13653e+173 -1.99975e-05 5e-08
4.12826e+173 -1.99974e-05 5e-08
4.12001e+173 -1.99973e-05 5e-08
4.11178e+173 -1.99972e-05 5e-08
4.10357e+173 -1.99971e-05 5e-08
4.09537e+173 -1.9997e-05 5e-08
4.08718e+173 -1.99969e-05 5e-08
4.07902e+173 -1.99968e-05 5e-08
4.07087e+173 -1.99967e-05 5e-08
4.06273e+173 -1.99966e-05 5e-08
4.05462e+173 -1.99965e-05 5e-08
4.04652e+173 -1.99964e-05 5e-08
4.03843e+173 -1.99963e-05 5e-08
4.03036e+173 -1.99962e-05 5e-08
4.02231e+173 -1.99961e-05 5e-08
4.01427e+173 -1.9996e-05 5e-08
4.00625e+173 -1.99959e-05 5e-08
3.99825e+173 -1.99958e-05 5e-08
3.99026e+173 -1.99957e-05 5e-08
3.98229e+173 -1.99956e-05 5e-08
3.97433e+173 -1.99955e-05 5e-08
3.96639e+173 -1.99954e-05 5e-08
3.95846e+173 -1.99953e-05 5e-08
3.95056e+173 -1.99952e-05 5e-08
